Name,Label,Domain,Range,URI,Count
blueLongDistancePisteNumber,blue long distance piste number,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/blueLongDistancePisteNumber,0
blueSkiPisteNumber,blue ski piste number,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/blueSkiPisteNumber,0
bnfId,BNF Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/bnfId,164
book,name,owl:Thing,xsd:string,http://dbpedia.org/ontology/book,0
border,border,owl:Thing,Area,http://dbpedia.org/ontology/border,108
bpnId,BPN Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/bpnId,0
budget,budget,owl:Thing,Currency,http://dbpedia.org/ontology/budget,25802
budgetYear,budget year,Place,xsd:string,http://dbpedia.org/ontology/budgetYear,0
builder,builder,owl:Thing,owl:Thing,http://dbpedia.org/ontology/builder,30769
buildingEndDate,building end date,owl:Thing,xsd:string,http://dbpedia.org/ontology/buildingEndDate,20812
buildingStartDate,building start date,owl:Thing,xsd:string,http://dbpedia.org/ontology/buildingStartDate,15701
cableCar,cable car,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/cableCar,0
calculationNeeds,its calculation needs,owl:Thing,owl:Thing,http://dbpedia.org/ontology/calculationNeeds,0
callSign,call sign,owl:Thing,xsd:string,http://dbpedia.org/ontology/callSign,84
cannonNumber,cannon number,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/cannonNumber,0
capacity,capacity,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/capacity,18429
capitalCoordinates,capital coordinates,Place,xsd:string,http://dbpedia.org/ontology/capitalCoordinates,0
casNumber,CAS number,owl:Thing,xsd:string,http://dbpedia.org/ontology/casNumber,7645
casSupplemental,CAS supplemental,owl:Thing,xsd:string,http://dbpedia.org/ontology/casSupplemental,0
category,category,owl:Thing,owl:Thing,http://dbpedia.org/ontology/category,4782
chain,chain,owl:Thing,Company,http://dbpedia.org/ontology/chain,255
chairLabel,chair label,owl:Thing,owl:Thing,http://dbpedia.org/ontology/chairLabel,0
chairman,chairman,owl:Thing,Person,http://dbpedia.org/ontology/chairman,8725
chancellor,chancellor,owl:Thing,Person,http://dbpedia.org/ontology/chancellor,2291
channel,channel,owl:Thing,Broadcaster,http://dbpedia.org/ontology/channel,14597
chiefPlace,chief place,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/chiefPlace,0
city,city,owl:Thing,City,http://dbpedia.org/ontology/city,97447
cityLink,city link,Place,xsd:string,http://dbpedia.org/ontology/cityLink,0
class,class,owl:Thing,owl:Thing,http://dbpedia.org/ontology/class,173511
classification,classification,owl:Thing,xsd:string,http://dbpedia.org/ontology/classification,5577
climate,climate,Place,owl:Thing,http://dbpedia.org/ontology/climate,0
climbUpNumber,clip up number,Place,xsd:nonNegativeInteger,http://dbpedia.org/ontology/climbUpNumber,0
closeTo,is close to,Place,Place,http://dbpedia.org/ontology/closeTo,0
closingDate,closing date,owl:Thing,xsd:date,http://dbpedia.org/ontology/closingDate,3788
closingYear,closing year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/closingYear,8207
coach,coach,owl:Thing,Person,http://dbpedia.org/ontology/coach,8903
coachedTeam,coached team,owl:Thing,SportsTeam,http://dbpedia.org/ontology/coachedTeam,0
coastLength,length of a coast,Place,xsd:float,http://dbpedia.org/ontology/coastLength,0
coatOfArms,coat of arms image,owl:Thing,owl:Thing,http://dbpedia.org/ontology/coatOfArms,0
code,code,owl:Thing,xsd:string,http://dbpedia.org/ontology/code,1150
codeMunicipalMonument,monument code (municipal),Place,xsd:string,http://dbpedia.org/ontology/codeMunicipalMonument,0
codeNationalMonument,monument code (national),Place,xsd:string,http://dbpedia.org/ontology/codeNationalMonument,0
codeProvincialMonument,monument code (provinciall),Place,xsd:string,http://dbpedia.org/ontology/codeProvincialMonument,0
collectionSize,country,owl:Thing,owl:Thing,http://dbpedia.org/ontology/collectionSize,0
colour,colour,owl:Thing,Colour,http://dbpedia.org/ontology/colour,11072
colourHexCode,colour hex code,owl:Thing,xsd:string,http://dbpedia.org/ontology/colourHexCode,824
colourName,colour name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/colourName,8965
commandant,commandant,owl:Thing,Person,http://dbpedia.org/ontology/commandant,0
commander,commander,owl:Thing,Person,http://dbpedia.org/ontology/commander,16618
comment,comment,owl:Thing,xsd:string,http://dbpedia.org/ontology/comment,0
committee,committee,owl:Thing,xsd:string,http://dbpedia.org/ontology/committee,660
