Name,Label,Domain,Range,URI,Count
deliveryDate,delivery date,owl:Thing,xsd:date,http://dbpedia.org/ontology/deliveryDate,39
demonym,demonym,owl:Thing,rdf:langString,http://dbpedia.org/ontology/demonym,6994
density,density,owl:Thing,Density,http://dbpedia.org/ontology/density,125
depictionDescription,depiction description (caption),owl:Thing,rdf:langString,http://dbpedia.org/ontology/depictionDescription,3385
depth,depth,Place,Length,http://dbpedia.org/ontology/depth,1399
deputy,deputy,owl:Thing,Person,http://dbpedia.org/ontology/deputy,3631
description,description,owl:Thing,rdf:langString,http://dbpedia.org/ontology/description,12947
designCompany,designer company,owl:Thing,Company,http://dbpedia.org/ontology/designCompany,1775
designer,designer,owl:Thing,Person,http://dbpedia.org/ontology/designer,10380
destructionDate,destruction date,owl:Thing,xsd:date,http://dbpedia.org/ontology/destructionDate,69
developer,developer,owl:Thing,Agent,http://dbpedia.org/ontology/developer,27978
diameter,diameter,owl:Thing,Length,http://dbpedia.org/ontology/diameter,2731
diocese,diocese,owl:Thing,Diocese,http://dbpedia.org/ontology/diocese,10436
discoverer,discoverer,owl:Thing,Person,http://dbpedia.org/ontology/discoverer,3828
disease,disease,owl:Thing,Disease,http://dbpedia.org/ontology/disease,28
distance,distance,owl:Thing,Length,http://dbpedia.org/ontology/distance,1578
distributor,distributor,owl:Thing,Organisation,http://dbpedia.org/ontology/distributor,80302
district,district,Place,PopulatedPlace,http://dbpedia.org/ontology/district,33959
division,division,owl:Thing,owl:Thing,http://dbpedia.org/ontology/division,17847
draft,draft,owl:Thing,xsd:string,http://dbpedia.org/ontology/draft,10798
draftYear,draft year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/draftYear,32637
drugbank,DrugBank,owl:Thing,xsd:string,http://dbpedia.org/ontology/drugbank,2431
duration,duration,owl:Thing,Time,http://dbpedia.org/ontology/duration,98
editor,editor,owl:Thing,Agent,http://dbpedia.org/ontology/editor,6088
electionMajority,election majority,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/electionMajority,54
elevation,elevation,Place,Length,http://dbpedia.org/ontology/elevation,225985
engineer,engineer,owl:Thing,Person,http://dbpedia.org/ontology/engineer,102
era,era,owl:Thing,owl:Thing,http://dbpedia.org/ontology/era,1867
ethnicGroupsInYear,ethnic groups in year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/ethnicGroupsInYear,3
event,event,owl:Thing,Event,http://dbpedia.org/ontology/event,2027
executiveProducer,executive producer,owl:Thing,Person,http://dbpedia.org/ontology/executiveProducer,11057
failedLaunches,failed launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/failedLaunches,222
fdaUniiCode,FDA UNII code,owl:Thing,xsd:string,http://dbpedia.org/ontology/fdaUniiCode,6406
feastDay,"feast day, holiday",owl:Thing,xsd:date,http://dbpedia.org/ontology/feastDay,51
firstLeader,firstLeader,owl:Thing,Person,http://dbpedia.org/ontology/firstLeader,5041
firstPopularVote,firstPopularVote,owl:Thing,Person,http://dbpedia.org/ontology/firstPopularVote,45
floodingDate,flooding date,owl:Thing,xsd:date,http://dbpedia.org/ontology/floodingDate,27
focus,focus,owl:Thing,owl:Thing,http://dbpedia.org/ontology/focus,10
format,format (object),owl:Thing,owl:Thing,http://dbpedia.org/ontology/format,23883
formerName,former name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/formerName,19554
foundedBy,founded by,owl:Thing,Agent,http://dbpedia.org/ontology/foundedBy,17333
founder,founder,owl:Thing,Person,http://dbpedia.org/ontology/founder,2167
foundingDate,founding date,owl:Thing,xsd:date,http://dbpedia.org/ontology/foundingDate,38091
foundingYear,founding year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/foundingYear,107281
frequency,frequency,owl:Thing,Frequency,http://dbpedia.org/ontology/frequency,15600
fuelType,fuel type,owl:Thing,owl:Thing,http://dbpedia.org/ontology/fuelType,1335
gender,gender,owl:Thing,owl:Thing,http://dbpedia.org/ontology/gender,640
genre,genre,owl:Thing,Genre,http://dbpedia.org/ontology/genre,220423
governingBody,governing body,Place,Organisation,http://dbpedia.org/ontology/governingBody,7441
governmentType,government type,owl:Thing,GovernmentType,http://dbpedia.org/ontology/governmentType,17870
governor,governor,owl:Thing,Person,http://dbpedia.org/ontology/governor,7560
governorGeneral,governor general,owl:Thing,Person,http://dbpedia.org/ontology/governorGeneral,628
greekName,name in ancient Greek,owl:Thing,xsd:string,http://dbpedia.org/ontology/greekName,24
gridReference,grid reference,Place,xsd:string,http://dbpedia.org/ontology/gridReference,20735
hasVariant,variant or variation,owl:Thing,owl:Thing,http://dbpedia.org/ontology/hasVariant,503
height,height,owl:Thing,Length,http://dbpedia.org/ontology/height,281108
highestPlace,highest place,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/highestPlace,33
highschool,highschool,owl:Thing,School,http://dbpedia.org/ontology/highschool,20552
homeStadium,home stadium,owl:Thing,Stadium,http://dbpedia.org/ontology/homeStadium,11749
honours,honours,owl:Thing,owl:Thing,http://dbpedia.org/ontology/honours,2345
imageSize,image size (px),owl:Thing,xsd:integer,http://dbpedia.org/ontology/imageSize,1666
imdbId,IMDB id,owl:Thing,xsd:string,http://dbpedia.org/ontology/imdbId,74092
incumbent,incumbent,owl:Thing,Person,http://dbpedia.org/ontology/incumbent,58
individualisedGnd,individualised GND number,owl:Thing,xsd:string,http://dbpedia.org/ontology/individualisedGnd,326
influenced,influenced,owl:Thing,owl:Thing,http://dbpedia.org/ontology/influenced,2313
influencedBy,influenced by,owl:Thing,owl:Thing,http://dbpedia.org/ontology/influencedBy,4570
institution,institution,owl:Thing,Organisation,http://dbpedia.org/ontology/institution,19797
intercommunality,intercommunality,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/intercommunality,12008
introduced,introduced,owl:Thing,xsd:date,http://dbpedia.org/ontology/introduced,88
isPartOf,is part of,owl:Thing,owl:Thing,http://dbpedia.org/ontology/isPartOf,5056
isPartOfName,is part of (literal),owl:Thing,xsd:string,http://dbpedia.org/ontology/isPartOfName,921
isniId,ISNI Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/isniId,293
iso31661Code,ISO 3166-1 code,Place,xsd:string,http://dbpedia.org/ontology/iso31661Code,88
jurisdiction,jurisdiction,owl:Thing,owl:Thing,http://dbpedia.org/ontology/jurisdiction,8333
keyPerson,key person,owl:Thing,Person,http://dbpedia.org/ontology/keyPerson,20865
knownFor,known for,owl:Thing,owl:Thing,http://dbpedia.org/ontology/knownFor,44078
lake,vastest lake,Place,BodyOfWater,http://dbpedia.org/ontology/lake,2829
language,language,owl:Thing,Language,http://dbpedia.org/ontology/language,97311
languageRegulator,language regulator or academy,owl:Thing,Language,http://dbpedia.org/ontology/languageRegulator,235
latinName,name in latin,owl:Thing,xsd:string,http://dbpedia.org/ontology/latinName,1337
lccnId,LCCN Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/lccnId,832
leader,leader,owl:Thing,Person,http://dbpedia.org/ontology/leader,12914
league,league,owl:Thing,SportsLeague,http://dbpedia.org/ontology/league,53550
length,length,owl:Thing,Length,http://dbpedia.org/ontology/length,101430
